target_coverage,realized_coverage_avg,realized_coverage_std,sel_RMSE_avg,sel_RMSE_std,full_RMSE_avg,full_RMSE_std,aux_RMSE_avg,aux_RMSE_std,tau_avg,tau_std
0.7,0.6602,0.0504,4.6636,0.2704,5.9972,0.197,6.0179,0.2296,0.5812,0.0336
0.75,0.7107,0.0403,5.0246,0.5196,6.0616,0.2254,5.9879,0.2277,0.6171,0.0282
0.8,0.7748,0.0447,5.0214,0.5857,6.028,0.1587,6.0835,0.2798,0.6531,0.0252
0.85,0.8155,0.0471,5.1934,0.6093,5.9978,0.2761,6.0051,0.2886,0.7226,0.023
0.9,0.8777,0.0201,5.149,0.4767,5.8521,0.1754,5.9142,0.3084,0.8078,0.0307
0.95,0.9282,0.0111,5.597,0.0937,6.0362,0.1966,6.0383,0.2196,0.9099,0.0071

minutes_taken,2.783
dataset,concrete
dataset,concrete
h_size,[64]
g_hidden_size,16
lambda_sel,32.0
alpha,0.5
epochs,800
patience,-1
lr,0.0005
decay_rate,0.99
sigma_in,0.1
weight_decay,0.0001
n_batch,256
n_runs,5
