target_coverage,coverage_avg,coverage_std,PICP_sel_avg,PICP_sel_std,MPIW_sel_avg,MPIW_sel_std,RMSE_sel_avg,RMSE_sel_std,PICP_all_avg,PICP_all_std,MPIW_all_avg,MPIW_all_std,RMSE_all_avg,RMSE_all_std,aux_PICP_avg,aux_PICP_std,aux_MPIW_avg,aux_MPIW_std,aux_RMSE_avg,aux_RMSE_std,tau_avg,tau_std
0.8,0.8039,0.0866,0.8852,0.0557,0.8455,0.0976,2.3075,0.3161,0.8353,0.0472,0.8561,0.1252,2.776,0.1537,0.9098,0.053,1.0271,0.0455,2.9274,0.1743,0.5363,0.2798

minutes_taken,0.348
dataset,boston
aux_mode,piven
_comment,Inherited from PIVEN: h_size, epochs, lambda_pi, sigma_in. lr capped at 0.005 (PIVEN's 0.02 crashes SP-PIVEN).
dataset,boston
h_size,[50]
g_hidden_size,16
c_pi,0.95
alpha,0.5
beta,0.5
beta_h,0.5
lambda_pi,15.0
lambda_sel,32.0
soften,160.0
warmup_frac,0.0
aux_mode,piven
epochs,300
patience,-1
lr,0.005
decay_rate,0.99
sigma_in,0.1
weight_decay,0.0
out_biases,[3.0, -3.0]
n_batch,100
n_runs,5
n_ensemble,1
