target_coverage,coverage_avg,coverage_std,PICP_sel_avg,PICP_sel_std,MPIW_sel_avg,MPIW_sel_std,RMSE_sel_avg,RMSE_sel_std,PICP_all_avg,PICP_all_std,MPIW_all_avg,MPIW_all_std,RMSE_all_avg,RMSE_all_std,aux_PICP_avg,aux_PICP_std,aux_MPIW_avg,aux_MPIW_std,aux_RMSE_avg,aux_RMSE_std,tau_avg,tau_std
0.8,0.8078,0.0269,0.9229,0.0339,2.0205,0.0994,7.1971,0.6918,0.8427,0.0294,1.8152,0.083,8.0386,0.8156,0.9087,0.0288,2.1476,0.1778,7.492,0.3103,0.6058,0.0559

minutes_taken,0.783
dataset,concrete
aux_mode,piven
dataset,concrete
h_size,[64]
g_hidden_size,16
c_pi,0.95
alpha,0.5
beta,0.5
beta_h,0.5
lambda_pi,15.0
lambda_sel,32.0
soften,160.0
warmup_frac,0.2
aux_mode,piven
epochs,800
patience,-1
lr,0.0005
decay_rate,0.99
sigma_in,0.1
weight_decay,0.0001
out_biases,[3.0, -3.0]
n_batch,256
n_runs,5
n_ensemble,1
