target_coverage,coverage_avg,coverage_std,PICP_sel_avg,PICP_sel_std,MPIW_sel_avg,MPIW_sel_std,RMSE_sel_avg,RMSE_sel_std,PICP_all_avg,PICP_all_std,MPIW_all_avg,MPIW_all_std,RMSE_all_avg,RMSE_all_std,aux_PICP_avg,aux_PICP_std,aux_MPIW_avg,aux_MPIW_std,aux_RMSE_avg,aux_RMSE_std,tau_avg,tau_std
0.8,0.7806,0.0741,0.0,0.0,-6.4405,0.5116,4.6283,0.2486,0.0,0.0,-6.6626,0.5434,5.5272,0.3625,0.0,0.0,-7.1508,1.0082,5.6939,0.5123,0.6772,0.2065

minutes_taken,0.929
dataset,concrete
aux_mode,piven
dataset,concrete
h_size,[50]
g_hidden_size,16
c_pi,0.95
alpha,0.5
beta,0.5
beta_h,0.5
lambda_pi,15.0
lambda_sel,32.0
soften,160.0
warmup_frac,1.0
aux_mode,piven
epochs,800
patience,-1
lr,0.005
decay_rate,0.99
sigma_in,0.2
weight_decay,0.0
out_biases,[3.0, -3.0]
n_batch,100
n_runs,5
n_ensemble,1
