target_coverage,coverage_avg,coverage_std,PICP_sel_avg,PICP_sel_std,MPIW_sel_avg,MPIW_sel_std,RMSE_sel_avg,RMSE_sel_std,PICP_all_avg,PICP_all_std,MPIW_all_avg,MPIW_all_std,RMSE_all_avg,RMSE_all_std,aux_PICP_avg,aux_PICP_std,aux_MPIW_avg,aux_MPIW_std,aux_RMSE_avg,aux_RMSE_std,tau_avg,tau_std
0.7,0.701,0.0656,0.8057,0.0633,0.7054,0.0706,4.7065,0.2467,0.6932,0.0589,0.6869,0.0638,6.5053,0.266,0.8466,0.0346,0.9854,0.0906,6.2987,0.1068,0.3926,0.421
0.75,0.7515,0.0507,0.8264,0.0531,0.7349,0.0529,4.839,0.2269,0.7456,0.0232,0.785,0.0648,6.4525,0.3014,0.8369,0.0529,0.9723,0.0667,6.3903,0.3162,0.3508,0.379
0.8,0.7806,0.0605,0.821,0.0651,0.7469,0.0801,5.0555,0.7946,0.7534,0.038,0.7894,0.0952,6.325,0.7299,0.8835,0.0299,0.9962,0.0836,6.0739,0.398,0.4132,0.3468
0.85,0.8524,0.0502,0.8404,0.0649,0.7852,0.0567,5.0962,0.4874,0.7689,0.0385,0.8051,0.0311,6.5971,0.3604,0.8447,0.0228,0.9507,0.0272,6.1684,0.2589,0.3703,0.3729
0.9,0.8854,0.0174,0.8214,0.0833,0.8437,0.0973,5.3744,0.5268,0.7903,0.0842,0.8742,0.0977,6.3643,0.3176,0.8621,0.0325,0.9745,0.0489,6.1587,0.2989,0.4489,0.3422
0.95,0.9553,0.0253,0.8192,0.0205,0.8445,0.0507,5.6962,0.327,0.8097,0.0201,0.8631,0.0494,6.2855,0.3408,0.8388,0.038,0.9406,0.0905,6.3938,0.4106,0.2545,0.1323

minutes_taken,5.587
dataset,concrete
aux_mode,piven
dataset,concrete
h_size,[50]
g_hidden_size,16
c_pi,0.95
alpha,0.5
beta,0.5
beta_h,0.5
lambda_pi,15.0
lambda_sel,32.0
soften,160.0
warmup_frac,0.0
aux_mode,piven
epochs,800
patience,-1
lr,0.005
decay_rate,0.99
sigma_in,0.2
weight_decay,0.0
out_biases,[3.0, -3.0]
n_batch,100
n_runs,5
n_ensemble,1
