target_coverage,coverage_avg,coverage_std,PICP_sel_avg,PICP_sel_std,MPIW_sel_avg,MPIW_sel_std,RMSE_sel_avg,RMSE_sel_std,PICP_all_avg,PICP_all_std,MPIW_all_avg,MPIW_all_std,RMSE_all_avg,RMSE_all_std,aux_PICP_avg,aux_PICP_std,aux_MPIW_avg,aux_MPIW_std,aux_RMSE_avg,aux_RMSE_std,tau_avg,tau_std
0.7,0.7065,0.0455,0.9195,0.0256,0.2814,0.0402,0.8436,0.4005,0.8182,0.0411,0.4009,0.1269,2.216,0.4753,0.9325,0.0232,0.4594,0.0263,1.5296,0.1838,0.7191,0.405
0.75,0.7325,0.0374,0.968,0.0081,0.3926,0.0649,0.871,0.1946,0.8675,0.0336,0.4877,0.0926,2.3789,0.5163,0.9403,0.0285,0.5168,0.1085,1.6134,0.3075,0.8131,0.2098
0.8,0.7844,0.0116,0.9437,0.0299,0.3405,0.0717,1.0014,0.0755,0.8312,0.0528,0.4017,0.066,2.9328,1.0008,0.9351,0.0205,0.4944,0.1108,1.6045,0.2664,0.8247,0.365
0.85,0.8649,0.0417,0.9339,0.0167,0.4337,0.1102,1.0964,0.4526,0.8675,0.0591,0.4575,0.0947,2.346,0.2873,0.9169,0.0253,0.417,0.0474,1.5771,0.3776,0.6461,0.4643
0.9,0.9013,0.0396,0.9553,0.051,0.4299,0.1615,1.2411,0.327,0.9117,0.072,0.5001,0.1523,2.484,0.6161,0.9325,0.0232,0.5083,0.0255,1.6206,0.3031,0.4733,0.3829
0.95,0.9558,0.0174,0.9267,0.0528,0.4217,0.0727,1.6648,0.2174,0.9013,0.0738,0.4441,0.0917,2.0654,0.5074,0.9429,0.0285,0.546,0.1302,1.7749,0.3267,0.3232,0.3914

minutes_taken,6.676
dataset,energy
aux_mode,piven
_comment,Inherited from PIVEN: h_size, epochs, lambda_pi, sigma_in. lr capped at 0.005 (PIVEN's 0.016 crashes SP-PIVEN).
dataset,energy
h_size,[50]
g_hidden_size,16
c_pi,0.95
alpha,0.5
beta,0.5
beta_h,0.5
lambda_pi,17.0
lambda_sel,32.0
soften,160.0
warmup_frac,0.0
aux_mode,piven
epochs,1200
patience,-1
lr,0.005
decay_rate,0.99
sigma_in,0.35
weight_decay,0.0
out_biases,[3.0, -3.0]
n_batch,100
n_runs,5
n_ensemble,1
