target_coverage,coverage_avg,coverage_std,PICP_sel_avg,PICP_sel_std,MPIW_sel_avg,MPIW_sel_std,RMSE_sel_avg,RMSE_sel_std,PICP_all_avg,PICP_all_std,MPIW_all_avg,MPIW_all_std,RMSE_all_avg,RMSE_all_std,aux_PICP_avg,aux_PICP_std,aux_MPIW_avg,aux_MPIW_std,aux_RMSE_avg,aux_RMSE_std,tau_avg,tau_std
0.7,0.7067,0.0139,0.8716,0.0139,0.9668,0.0227,0.08,0.0019,0.7497,0.016,0.9994,0.0557,0.1713,0.014,0.8759,0.0128,1.3486,0.098,0.1101,0.0038,0.4237,0.1544
0.75,0.748,0.0226,0.8735,0.0142,1.0087,0.0321,0.0819,0.0035,0.7717,0.0176,1.0813,0.03,0.1586,0.0137,0.8847,0.0148,1.4123,0.0364,0.1128,0.0078,0.4697,0.202
0.8,0.7973,0.0114,0.8717,0.0102,1.0417,0.0475,0.0864,0.0039,0.7832,0.0177,1.0919,0.0662,0.1519,0.0072,0.8821,0.0173,1.388,0.0453,0.1116,0.0055,0.4516,0.1698
0.85,0.8493,0.0135,0.8683,0.0208,1.0704,0.0269,0.0893,0.0048,0.7968,0.0237,1.1077,0.0193,0.1458,0.0162,0.8874,0.0048,1.3356,0.047,0.1083,0.0049,0.4025,0.2476
0.9,0.895,0.0118,0.877,0.0127,1.1206,0.0549,0.0926,0.0061,0.8227,0.016,1.1581,0.057,0.1362,0.01,0.8874,0.0062,1.3516,0.0237,0.1075,0.0038,0.2676,0.2373
0.95,0.9536,0.0124,0.8777,0.0124,1.1981,0.0563,0.1007,0.0074,0.8476,0.0078,1.2346,0.0643,0.1244,0.0034,0.883,0.0115,1.3486,0.0498,0.1095,0.0035,0.0726,0.0758

minutes_taken,37.843
dataset,kin8nm
aux_mode,piven
_comment,Inherited from PIVEN: h_size, epochs, lambda_pi, sigma_in. lr capped at 0.005 (PIVEN's 0.0135 crashes SP-PIVEN).
dataset,kin8nm
h_size,[50]
g_hidden_size,16
c_pi,0.95
alpha,0.5
beta,0.5
beta_h,0.5
lambda_pi,12.0
lambda_sel,32.0
soften,160.0
warmup_frac,0.0
aux_mode,piven
epochs,800
patience,-1
lr,0.005
decay_rate,0.99
sigma_in,0.4362
weight_decay,0.0
out_biases,[3.0, -3.0]
n_batch,100
n_runs,5
n_ensemble,1
