target_coverage,coverage_avg,coverage_std,PICP_sel_avg,PICP_sel_std,MPIW_sel_avg,MPIW_sel_std,RMSE_sel_avg,RMSE_sel_std,PICP_all_avg,PICP_all_std,MPIW_all_avg,MPIW_all_std,RMSE_all_avg,RMSE_all_std,aux_PICP_avg,aux_PICP_std,aux_MPIW_avg,aux_MPIW_std,aux_RMSE_avg,aux_RMSE_std,tau_avg,tau_std
0.7,0.6944,0.0213,0.9597,0.0057,0.2811,0.0353,0.0011,0.0001,0.7447,0.031,0.2898,0.0559,0.0041,0.001,0.9418,0.007,0.4674,0.0688,0.002,0.0003,0.5726,0.2169
0.75,0.7455,0.0212,0.952,0.0075,0.3269,0.0363,0.0014,0.0002,0.8023,0.0224,0.3736,0.04,0.0039,0.0007,0.937,0.007,0.5124,0.0513,0.0022,0.0003,0.4264,0.2609
0.8,0.7965,0.0115,0.9512,0.0066,0.3133,0.0469,0.0014,0.0002,0.8538,0.0289,0.3747,0.0605,0.0031,0.0006,0.9455,0.0078,0.4669,0.0759,0.0021,0.0003,0.4201,0.2062
0.85,0.8389,0.012,0.9502,0.0137,0.3359,0.0528,0.0015,0.0002,0.8632,0.0359,0.3616,0.0571,0.0028,0.0007,0.9415,0.0104,0.4421,0.0783,0.002,0.0003,0.3989,0.2144
0.9,0.8929,0.0113,0.9504,0.0072,0.3549,0.0594,0.0015,0.0003,0.8644,0.015,0.3767,0.0577,0.0029,0.0004,0.9428,0.0045,0.4654,0.0669,0.0021,0.0003,0.4411,0.1055
0.95,0.9474,0.0074,0.9383,0.0033,0.3917,0.0282,0.0017,0.0001,0.8924,0.0066,0.408,0.0299,0.0024,0.0002,0.9407,0.0067,0.4515,0.0356,0.002,0.0001,0.2438,0.0518

minutes_taken,74.103
dataset,naval
aux_mode,piven
_comment,Inherited from PIVEN: h_size, epochs, lambda_pi, sigma_in. lr capped at 0.005 (PIVEN's 0.006 is close, capped for consistency).
dataset,naval
h_size,[50]
g_hidden_size,16
c_pi,0.95
alpha,0.5
beta,0.5
beta_h,0.5
lambda_pi,4.0
lambda_sel,32.0
soften,160.0
warmup_frac,0.0
aux_mode,piven
epochs,1000
patience,-1
lr,0.005
decay_rate,0.99
sigma_in,0.1
weight_decay,0.0
out_biases,[3.0, -3.0]
n_batch,100
n_runs,5
n_ensemble,1
