target_coverage,coverage_avg,coverage_std,PICP_sel_avg,PICP_sel_std,MPIW_sel_avg,MPIW_sel_std,RMSE_sel_avg,RMSE_sel_std,PICP_all_avg,PICP_all_std,MPIW_all_avg,MPIW_all_std,RMSE_all_avg,RMSE_all_std,aux_PICP_avg,aux_PICP_std,aux_MPIW_avg,aux_MPIW_std,aux_RMSE_avg,aux_RMSE_std,tau_avg,tau_std
0.7,0.6899,0.0264,0.929,0.0052,0.7386,0.0072,3.7986,0.2204,0.9051,0.014,0.7588,0.0102,4.1644,0.196,0.9402,0.0049,0.8176,0.0076,4.121,0.2003,0.5578,0.0643
0.75,0.7312,0.0219,0.9353,0.0065,0.7519,0.0072,3.8135,0.2532,0.9149,0.0103,0.772,0.0059,4.1531,0.2275,0.9394,0.0047,0.8161,0.0079,4.1277,0.2167,0.5828,0.0312
0.8,0.7929,0.0172,0.93,0.0104,0.7511,0.0025,3.8153,0.2318,0.9183,0.0114,0.7701,0.0048,4.1251,0.1959,0.9396,0.0062,0.8066,0.0078,4.0996,0.1995,0.5722,0.0686
0.85,0.8359,0.0204,0.9323,0.0086,0.7649,0.0052,3.885,0.2215,0.9248,0.0069,0.7816,0.0043,4.1158,0.1923,0.9381,0.0048,0.8097,0.0033,4.101,0.1997,0.6402,0.03
0.9,0.8945,0.0091,0.9338,0.0068,0.7753,0.0045,3.9174,0.1765,0.9256,0.0055,0.7833,0.0018,4.1243,0.185,0.9379,0.0061,0.8069,0.0055,4.1089,0.1822,0.6289,0.0669
0.95,0.944,0.0097,0.9355,0.0086,0.792,0.0025,3.9801,0.2423,0.9306,0.0116,0.7951,0.0031,4.1191,0.2247,0.9383,0.006,0.8077,0.0071,4.1064,0.2015,0.6491,0.0328

minutes_taken,29.386
dataset,power-plant
aux_mode,piven
_comment,Inherited from PIVEN: h_size, epochs, lambda_pi, sigma_in. lr capped at 0.005 (PIVEN's 0.014 crashes SP-PIVEN).
dataset,power-plant
h_size,[50]
g_hidden_size,16
c_pi,0.95
alpha,0.5
beta,0.5
beta_h,0.5
lambda_pi,15.7
lambda_sel,32.0
soften,160.0
warmup_frac,0.0
aux_mode,piven
epochs,500
patience,-1
lr,0.005
decay_rate,0.99
sigma_in,0.2573
weight_decay,0.0
out_biases,[3.0, -3.0]
n_batch,100
n_runs,5
n_ensemble,1
