target_coverage,coverage_avg,coverage_std,PICP_sel_avg,PICP_sel_std,MPIW_sel_avg,MPIW_sel_std,RMSE_sel_avg,RMSE_sel_std,PICP_all_avg,PICP_all_std,MPIW_all_avg,MPIW_all_std,RMSE_all_avg,RMSE_all_std,aux_PICP_avg,aux_PICP_std,aux_MPIW_avg,aux_MPIW_std,aux_RMSE_avg,aux_RMSE_std,tau_avg,tau_std
0.7,0.7008,0.0108,0.9351,0.004,1.5998,0.0154,3.6616,0.0457,0.8139,0.0132,1.6111,0.0379,5.1184,0.2966,0.9399,0.0037,2.1568,0.0076,4.4536,0.0431,0.2158,0.0571
0.75,0.7487,0.0078,0.9347,0.0054,1.6748,0.0091,3.7612,0.0769,0.8247,0.0111,1.6432,0.026,5.0426,0.0764,0.9396,0.0041,2.1612,0.0187,4.4444,0.0612,0.2068,0.0302
0.8,0.7962,0.0098,0.9358,0.0042,1.7462,0.0106,3.8592,0.0631,0.8455,0.0075,1.7247,0.0375,4.9903,0.1381,0.94,0.0038,2.1559,0.0167,4.4329,0.0561,0.143,0.0332
0.85,0.8482,0.0101,0.9346,0.0058,1.8232,0.0164,3.9821,0.0704,0.8753,0.0058,1.8353,0.0238,4.6552,0.0735,0.9393,0.0038,2.1458,0.0127,4.4308,0.0335,0.117,0.0631
0.9,0.8992,0.0052,0.9339,0.0032,1.9016,0.0151,4.1156,0.0615,0.8951,0.0032,1.9055,0.0149,4.7919,0.3501,0.9394,0.0032,2.1361,0.0067,4.4174,0.0684,0.0613,0.0294
0.95,0.948,0.0025,0.9344,0.0038,1.9922,0.0076,4.2351,0.0469,0.9138,0.0041,1.9885,0.0111,4.5043,0.0652,0.9381,0.0046,2.1326,0.0181,4.4128,0.0431,0.0543,0.0216

minutes_taken,180.335
dataset,protein
aux_mode,piven
_comment,Inherited from PIVEN: h_size=[100], epochs, lambda_pi, sigma_in. lr kept at PIVEN's 0.002 (already below cap).
dataset,protein
h_size,[100]
g_hidden_size,16
c_pi,0.95
alpha,0.5
beta,0.5
beta_h,0.5
lambda_pi,40.0
lambda_sel,32.0
soften,160.0
warmup_frac,0.0
aux_mode,piven
epochs,600
patience,-1
lr,0.002
decay_rate,0.999
sigma_in,0.2
weight_decay,0.0
out_biases,[3.0, -3.0]
n_batch,100
n_runs,5
n_ensemble,1
