target_coverage,coverage_avg,coverage_std,PICP_sel_avg,PICP_sel_std,MPIW_sel_avg,MPIW_sel_std,RMSE_sel_avg,RMSE_sel_std,PICP_all_avg,PICP_all_std,MPIW_all_avg,MPIW_all_std,RMSE_all_avg,RMSE_all_std,aux_PICP_avg,aux_PICP_std,aux_MPIW_avg,aux_MPIW_std,aux_RMSE_avg,aux_RMSE_std,tau_avg,tau_std
0.7,0.6975,0.0425,0.7481,0.0231,1.2669,0.0375,0.558,0.0554,0.64,0.0411,1.166,0.0829,0.6393,0.0589,0.8575,0.0277,2.0184,0.0507,0.6223,0.0647,0.4226,0.2403
0.75,0.7675,0.0507,0.773,0.027,1.3746,0.0794,0.5533,0.0452,0.685,0.0481,1.2797,0.1068,0.6211,0.0525,0.855,0.0355,1.9707,0.0462,0.6335,0.0451,0.3845,0.1774
0.8,0.8012,0.0684,0.8043,0.0628,1.4854,0.0503,0.5695,0.0281,0.7325,0.0649,1.4137,0.0603,0.6238,0.04,0.8675,0.0204,2.0305,0.0346,0.6281,0.0539,0.5098,0.3096
0.85,0.845,0.0493,0.8237,0.0286,1.5031,0.0535,0.577,0.0264,0.76,0.0402,1.4527,0.076,0.6265,0.0525,0.8588,0.0236,1.9915,0.069,0.6171,0.0472,0.5652,0.3383
0.9,0.9175,0.0384,0.832,0.0317,1.6245,0.0464,0.5909,0.0539,0.7925,0.0394,1.5866,0.0779,0.6299,0.0658,0.8412,0.0358,1.9846,0.0771,0.6321,0.0509,0.3959,0.3406
0.95,0.925,0.041,0.8304,0.0472,1.7027,0.0611,0.6024,0.0481,0.8038,0.0428,1.6835,0.0675,0.6288,0.0661,0.855,0.0284,1.9785,0.0511,0.6337,0.0573,0.5731,0.356

minutes_taken,11.404
dataset,wine
aux_mode,piven
_comment,Inherited from PIVEN: h_size, epochs, lambda_pi, sigma_in. lr capped at 0.005 (PIVEN's 0.01 crashes SP-PIVEN).
dataset,wine
h_size,[50]
g_hidden_size,16
c_pi,0.95
alpha,0.5
beta,0.5
beta_h,0.5
lambda_pi,40.0
lambda_sel,32.0
soften,160.0
warmup_frac,0.0
aux_mode,piven
epochs,1000
patience,-1
lr,0.005
decay_rate,0.99
sigma_in,0.2
weight_decay,0.0
out_biases,[3.0, -3.0]
n_batch,100
n_runs,5
n_ensemble,1
