target_coverage,coverage_avg,coverage_std,PICP_sel_avg,PICP_sel_std,MPIW_sel_avg,MPIW_sel_std,RMSE_sel_avg,RMSE_sel_std,PICP_all_avg,PICP_all_std,MPIW_all_avg,MPIW_all_std,RMSE_all_avg,RMSE_all_std,aux_PICP_avg,aux_PICP_std,aux_MPIW_avg,aux_MPIW_std,aux_RMSE_avg,aux_RMSE_std,tau_avg,tau_std
0.7,0.6774,0.0822,0.8962,0.1023,0.1163,0.0174,0.4289,0.1619,0.7355,0.0866,0.1624,0.0332,3.9626,2.065,0.9032,0.0684,0.1538,0.0217,0.9301,0.3581,0.6736,0.2021
0.75,0.7871,0.101,0.9449,0.046,0.1694,0.0635,0.6187,0.2149,0.8129,0.0736,0.1885,0.0734,2.8822,1.3743,0.8839,0.0669,0.1484,0.0332,0.9502,0.359,0.5929,0.3994
0.8,0.7935,0.0841,0.8837,0.0816,0.1001,0.0173,0.587,0.2345,0.7548,0.0777,0.1178,0.0244,2.6831,1.2605,0.8452,0.0353,0.1454,0.0259,1.1395,0.4397,0.6429,0.3861
0.85,0.8452,0.0951,0.845,0.0967,0.1056,0.0268,0.6222,0.162,0.7484,0.0978,0.1153,0.0263,1.9485,0.7706,0.8839,0.0629,0.1447,0.0228,1.0364,0.2005,0.721,0.394
0.9,0.9097,0.062,0.8961,0.0517,0.1422,0.0614,0.6399,0.2164,0.8452,0.027,0.1474,0.0572,1.2721,0.5823,0.9032,0.0721,0.1859,0.0834,1.0562,0.3517,0.5277,0.2348
0.95,0.9677,0.0395,0.8886,0.0729,0.1697,0.1007,0.9418,0.3908,0.8774,0.0661,0.1739,0.1039,1.038,0.5438,0.8581,0.0872,0.1449,0.0295,0.96,0.2778,0.6448,0.1791

minutes_taken,4.569
dataset,yacht
aux_mode,piven
_comment,Inherited from PIVEN: h_size, epochs, lambda_pi, sigma_in. lr kept at PIVEN's 0.005 (already at cap). decay_rate kept.
dataset,yacht
h_size,[50]
g_hidden_size,16
c_pi,0.95
alpha,0.5
beta,0.5
beta_h,0.5
lambda_pi,6.0
lambda_sel,32.0
soften,160.0
warmup_frac,0.0
aux_mode,piven
epochs,2000
patience,-1
lr,0.005
decay_rate,0.98
sigma_in,0.2
weight_decay,0.0
out_biases,[3.0, -3.0]
n_batch,100
n_runs,5
n_ensemble,1
